trial,config,states,steps,agent,wealth,return_pct
0,base_500,base,500,ql,3656.0097785033017,-63.439902214966985
0,base_500,base,500,momentum,9070.140167084312,-9.298598329156885
0,base_500,base,500,random,6477.228811040424,-35.22771188959576
1,base_500,base,500,ql,2790.818147084853,-72.09181852915147
1,base_500,base,500,momentum,7912.664444065045,-20.873355559349548
1,base_500,base,500,random,6496.758888643207,-35.03241111356793
2,base_500,base,500,ql,4506.550634344809,-54.934493656551915
2,base_500,base,500,momentum,9808.937696969444,-1.91062303030556
2,base_500,base,500,random,6135.218913464676,-38.64781086535324
3,base_500,base,500,ql,3003.6042141430976,-69.96395785856903
3,base_500,base,500,momentum,8314.062633995023,-16.85937366004977
3,base_500,base,500,random,6781.479349351874,-32.185206506481265
4,base_500,base,500,ql,3983.081313875032,-60.169186861249685
4,base_500,base,500,momentum,8602.509280649667,-13.974907193503332
4,base_500,base,500,random,6957.447149937672,-30.425528500623276
5,base_500,base,500,ql,3347.5348856270825,-66.52465114372917
5,base_500,base,500,momentum,8075.325005097919,-19.246749949020813
5,base_500,base,500,random,6945.7007028391645,-30.542992971608356
6,base_500,base,500,ql,3347.0902239262264,-66.52909776073773
6,base_500,base,500,momentum,8615.531870027326,-13.844681299726744
6,base_500,base,500,random,6819.661704181046,-31.80338295818954
7,base_500,base,500,ql,3716.1283694410376,-62.83871630558962
7,base_500,base,500,momentum,8096.683472956124,-19.033165270438758
7,base_500,base,500,random,6687.4110517389145,-33.12588948261086
8,base_500,base,500,ql,4562.672236762528,-54.37327763237472
8,base_500,base,500,momentum,8273.626828378958,-17.263731716210422
8,base_500,base,500,random,6303.855761581834,-36.961442384181666
9,base_500,base,500,ql,2257.96349437832,-77.4203650562168
9,base_500,base,500,momentum,8081.51482674988,-19.1848517325012
9,base_500,base,500,random,6757.742848374453,-32.422571516255466
10,base_500,base,500,ql,3691.830362687017,-63.08169637312984
10,base_500,base,500,momentum,8235.43215517732,-17.645678448226807
10,base_500,base,500,random,6765.176894999159,-32.34823105000841
11,base_500,base,500,ql,4362.329404556143,-56.37670595443856
11,base_500,base,500,momentum,9251.154422751284,-7.48845577248716
11,base_500,base,500,random,6458.776480210217,-35.41223519789783
12,base_500,base,500,ql,3000.9932291236264,-69.99006770876373
12,base_500,base,500,momentum,8539.236027027406,-14.607639729725943
12,base_500,base,500,random,6726.295548376239,-32.73704451623761
13,base_500,base,500,ql,4389.934768514981,-56.10065231485019
13,base_500,base,500,momentum,8239.324180254365,-17.606758197456347
13,base_500,base,500,random,6449.652088188922,-35.50347911811078
14,base_500,base,500,ql,3404.100290195976,-65.95899709804024
14,base_500,base,500,momentum,7730.938882418663,-22.690611175813373
14,base_500,base,500,random,6237.516216517209,-37.624837834827915
15,base_500,base,500,ql,3300.4579237338767,-66.99542076266124
15,base_500,base,500,momentum,8562.182089968343,-14.378179100316574
15,base_500,base,500,random,6766.06664716244,-32.3393335283756
16,base_500,base,500,ql,3681.965424789036,-63.180345752109645
16,base_500,base,500,momentum,7801.031667397601,-21.989683326023986
16,base_500,base,500,random,6311.4616432932535,-36.885383567067464
17,base_500,base,500,ql,3478.2540142678563,-65.21745985732144
17,base_500,base,500,momentum,9030.079313316579,-9.69920686683421
17,base_500,base,500,random,6328.76971912482,-36.7123028087518
18,base_500,base,500,ql,3730.4264936335235,-62.69573506366476
18,base_500,base,500,momentum,8526.54289974849,-14.734571002515095
18,base_500,base,500,random,6262.137369671316,-37.378626303286836
19,base_500,base,500,ql,3451.5598838807164,-65.48440116119284
19,base_500,base,500,momentum,8639.756946961785,-13.602430530382152
19,base_500,base,500,random,6437.106191773298,-35.62893808226702
20,base_500,base,500,ql,3042.965828309315,-69.57034171690685
20,base_500,base,500,momentum,8371.376398736104,-16.286236012638966
20,base_500,base,500,random,6642.619109388269,-33.57380890611731
21,base_500,base,500,ql,3091.937909955134,-69.08062090044866
21,base_500,base,500,momentum,7920.290178675655,-20.79709821324345
21,base_500,base,500,random,7361.288324815184,-26.38711675184816
22,base_500,base,500,ql,5202.12874710976,-47.9787125289024
22,base_500,base,500,momentum,8035.8040411561515,-19.641959588438485
22,base_500,base,500,random,6359.238749243212,-36.40761250756788
23,base_500,base,500,ql,3930.51788544158,-60.6948211455842
23,base_500,base,500,momentum,8517.719998531953,-14.82280001468047
23,base_500,base,500,random,6098.342057853832,-39.016579421461685
24,base_500,base,500,ql,2505.535031596143,-74.94464968403857
24,base_500,base,500,momentum,8592.790742554962,-14.07209257445038
24,base_500,base,500,random,6279.040351191831,-37.20959648808169
25,base_500,base,500,ql,4001.2796074392886,-59.98720392560712
25,base_500,base,500,momentum,9067.62489215992,-9.3237510784008
25,base_500,base,500,random,6902.780614351854,-30.972193856481464
26,base_500,base,500,ql,3220.646253803158,-67.79353746196843
26,base_500,base,500,momentum,8262.847188145968,-17.37152811854032
26,base_500,base,500,random,6758.244370724234,-32.417556292757666
27,base_500,base,500,ql,4839.702337427693,-51.602976625723066
27,base_500,base,500,momentum,8545.473746149517,-14.545262538504831
27,base_500,base,500,random,6458.219884559397,-35.417801154406035
28,base_500,base,500,ql,3636.3771363984847,-63.63622863601515
28,base_500,base,500,momentum,8507.649529653487,-14.923504703465133
