trial,volatility,agent,wealth,return_pct
0,0.2,random,6385.917884163105,-36.14082115836895
0,0.2,career,10886.72143397961,8.867214339796101
0,0.2,trend,7172.431204537321,-28.275687954626793
0,0.2,genre,10000.0,0.0
0,0.2,mean_rev,8395.3209223789,-16.046790776211
0,0.2,loyalty,9785.846295011077,-2.1415370498892297
0,0.2,value,9234.050600972509,-7.659493990274914
0,0.2,momentum,8352.854347080112,-16.471456529198875
0,0.2,adaptive,8401.320785137937,-15.986792148620625
0,0.2,hybrid,16592.010335622144,65.92010335622145
0,0.2,q_learning,4361.269544598936,-56.38730455401064
1,0.2,random,6673.856089941799,-33.26143910058201
1,0.2,career,10224.806347554091,2.2480634755409117
1,0.2,trend,7457.43645617634,-25.425635438236604
1,0.2,genre,10000.0,0.0
1,0.2,mean_rev,11156.503074616296,11.565030746162956
1,0.2,loyalty,9648.30951798552,-3.5169048201447914
1,0.2,value,9059.24843924121,-9.407515607587902
1,0.2,momentum,8353.376894187153,-16.466231058128468
1,0.2,adaptive,8272.508078990995,-17.274919210090047
1,0.2,hybrid,15647.425025444685,56.47425025444685
1,0.2,q_learning,3675.2365295942045,-63.24763470405796
2,0.2,random,6606.787048144925,-33.932129518550745
2,0.2,career,10533.81136272304,5.3381136272303955
2,0.2,trend,5784.566627018687,-42.15433372981313
2,0.2,genre,10000.0,0.0
2,0.2,mean_rev,8546.14444464195,-14.5385555535805
2,0.2,loyalty,9480.72675865844,-5.192732413415597
2,0.2,value,9306.659278232468,-6.933407217675321
2,0.2,momentum,8768.367075402783,-12.316329245972174
2,0.2,adaptive,7862.655014385526,-21.373449856144745
2,0.2,hybrid,15887.223470320034,58.87223470320034
2,0.2,q_learning,2942.947186785879,-70.5705281321412
3,0.2,random,6262.047086523538,-37.37952913476462
3,0.2,career,9234.66717484702,-7.653328251529802
3,0.2,trend,5381.65788269347,-46.1834211730653
3,0.2,genre,10000.0,0.0
3,0.2,mean_rev,9420.293187822095,-5.797068121779048
3,0.2,loyalty,9524.22873741406,-4.757712625859403
3,0.2,value,9230.713296729455,-7.692867032705453
3,0.2,momentum,8722.977524383828,-12.770224756161715
3,0.2,adaptive,8968.676436854268,-10.313235631457319
3,0.2,hybrid,15312.176657896602,53.12176657896602
3,0.2,q_learning,3180.4561454476357,-68.19543854552364
4,0.2,random,6446.546521306024,-35.53453478693976
4,0.2,career,10148.506746278685,1.4850674627868465
4,0.2,trend,5993.824114239154,-40.06175885760845
4,0.2,genre,10000.0,0.0
4,0.2,mean_rev,9249.06302671591,-7.509369732840896
4,0.2,loyalty,9726.907729103477,-2.7309227089652266
4,0.2,value,9470.106544817076,-5.298934551829243
4,0.2,momentum,8228.676542579407,-17.713234574205927
4,0.2,adaptive,8087.7985550052745,-19.122014449947255
4,0.2,hybrid,15808.184102220941,58.08184102220941
4,0.2,q_learning,3874.944438888154,-61.250555611118465
5,0.2,random,5895.130652782878,-41.048693472171216
5,0.2,career,9979.9874204941,-0.2001257950589934
5,0.2,trend,7122.248647452293,-28.77751352547707
5,0.2,genre,10000.0,0.0
5,0.2,mean_rev,8592.825020493587,-14.071749795064134
5,0.2,loyalty,9590.000752092132,-4.099992479078683
5,0.2,value,9497.465455032701,-5.025345449672987
5,0.2,momentum,8377.366601976451,-16.226333980235484
5,0.2,adaptive,7282.272212902973,-27.177277870970276
5,0.2,hybrid,15419.500142504572,54.19500142504572
5,0.2,q_learning,3880.890513376228,-61.19109486623773
6,0.2,random,6108.1771721761925,-38.918228278238075
6,0.2,career,9101.855508170831,-8.981444918291691
6,0.2,trend,5859.56633134531,-41.404336686546905
6,0.2,genre,10000.0,0.0
6,0.2,mean_rev,8306.847608017155,-16.93152391982845
6,0.2,loyalty,9524.415152095558,-4.755848479044416
6,0.2,value,8370.730232227772,-16.29269767772228
6,0.2,momentum,8701.516729484187,-12.984832705158134
6,0.2,adaptive,8060.016630961107,-19.39983369038893
6,0.2,hybrid,15411.63529931321,54.1163529931321
6,0.2,q_learning,3155.116647714222,-68.44883352285778
7,0.2,random,7027.637896935932,-29.72362103064068
7,0.2,career,10043.382294764942,0.4338229476494234
7,0.2,trend,6303.045211434756,-36.96954788565244
7,0.2,genre,10000.0,0.0
7,0.2,mean_rev,9173.17009445772,-8.268299055422794
7,0.2,loyalty,9561.220401619217,-4.387795983807828
7,0.2,value,8905.56884584892,-10.944311541510796
7,0.2,momentum,7928.649772581179,-20.71350227418821
